Physical Asset,Ownership,Commodity,Countries
1.0,1.0,0.6111111111111112,0.375
1.0,1.0,0.31999999999999995,0.4
1.0,1.0,0.6956521739130435,1.0
1.0,1.0,0.6956521739130435,0.4
1.0,1.0,0.6956521739130435,0.5
1.0,0.36363636363636365,0.6875,0.5
1.0,1.0,0.31999999999999995,1.0
1.0,1.0,0.6666666666666667,0.5
1.0,1.0,0.6956521739130435,0.5
1.0,0.4375,0.6666666666666667,0.5
0.8235294117647058,,0.5,
1.0,0.36363636363636365,0.6111111111111112,1.0
0.8571428571428572,0.4444444444444444,0.31999999999999995,0.0
1.0,1.0,0.5,0.6666666666666667
1.0,1.0,0.31999999999999995,0.6666666666666667
